index,id,group_id,phase_id,trial_phase,trial_expt,rev_ms,good?
1,1,1,1,1,1,,0
2,1,1,1,2,2,225.26307721477,1
3,1,1,1,3,3,257.742454270042,1
4,1,1,1,4,4,252.171309408888,1
5,1,1,1,5,5,287.984542530113,1
6,1,1,1,6,6,338.294266520313,1
7,1,1,1,7,7,276.748751922386,1
8,1,1,1,8,8,345.499949706648,1
9,1,1,1,9,9,284.34002632242,1
10,1,1,1,10,10,227.143036342375,1
11,1,1,1,11,11,232.343634763516,1
12,1,1,1,12,12,216.937073923564,1
13,1,1,2,1,13,207.556515370091,1
14,1,1,2,2,14,185.594045913703,1
15,1,1,2,3,15,227.487375866445,1
16,1,1,2,4,16,240.0030114773,1
17,1,1,2,5,17,209.10937192796,1
18,1,1,2,6,18,242.216457205508,1
19,1,1,2,7,19,199.729693011541,1
20,1,1,2,8,20,234.362738435311,1
21,1,1,2,9,21,231.117482384623,1
22,1,1,2,10,22,222.917663874334,1
23,1,1,2,11,23,234.437558559898,1
24,1,1,2,12,24,213.604263373594,1
25,1,1,2,13,25,203.282236736524,1
26,1,1,2,14,26,174.03342281101,1
27,1,1,2,15,27,219.637922874045,1
28,1,1,2,16,28,228.971898093775,1
29,1,1,2,17,29,217.10793686013,1
30,1,1,2,18,30,234.934679232498,1
31,1,1,2,19,31,218.149075904487,1
32,1,1,2,20,32,187.94877197327,1
33,1,1,2,21,33,169.552398351623,1
34,1,1,2,22,34,179.632693852016,1
35,1,1,2,23,35,197.206189447112,1
36,1,1,2,24,36,202.3065745004,1
37,1,1,2,25,37,178.4722749576,1
38,1,1,2,26,38,199.918448376094,1
39,1,1,2,27,39,287.976390723805,1
40,1,1,2,28,40,210.280571083985,1
41,1,1,2,29,41,271.474757901214,1
42,1,1,2,30,42,199.341054161371,1
43,1,1,2,31,43,185.239021138657,1
44,1,1,2,32,44,224.913541260544,1
45,1,1,2,33,45,216.862635324529,1
46,1,1,2,34,46,212.082427123317,1
47,1,1,2,35,47,238.194935586974,1
48,1,1,2,36,48,204.651978700989,1
49,1,1,2,37,49,219.508504825551,1
50,1,1,2,38,50,251.663949685435,1
51,1,1,2,39,51,240.646071655927,1
52,1,1,2,40,52,223.766984824728,1
53,1,1,2,41,53,238.838533060602,1
54,1,1,2,42,54,228.338797678654,1
55,1,1,2,43,55,239.696597171637,1
56,1,1,2,44,56,224.594655522167,1
57,1,1,2,45,57,232.742129565357,1
58,1,1,2,46,58,217.658023490923,1
59,1,1,2,47,59,259.714328994174,1
60,1,1,2,48,60,291.313483984435,1
61,1,1,2,49,61,202.534344743158,1
62,1,1,2,50,62,246.575905103963,1
63,1,1,2,51,63,222.151064951187,1
64,1,1,2,52,64,218.87253236473,1
65,1,1,2,53,65,228.302475367654,1
66,1,1,2,54,66,223.442038118744,1
67,1,1,2,55,67,235.15528998835,1
68,1,1,2,56,68,204.356764617987,1
69,1,1,2,57,69,248.095249580042,1
70,1,1,2,58,70,226.475369157769,1
71,1,1,2,59,71,178.083457498723,1
72,1,1,2,60,72,207.908851207958,1
73,1,1,2,61,73,233.844088273836,1
74,1,1,2,62,74,238.699513382083,1
75,1,1,2,63,75,258.608498033083,1
76,1,1,2,64,76,214.473095174595,1
77,1,1,2,65,77,259.247506142012,1
78,1,1,2,66,78,210.756696165278,1
79,1,1,2,67,79,231.783189995988,1
80,1,1,2,68,80,239.788601108817,1
81,1,1,2,69,81,227.521684147122,1
82,1,1,2,70,82,246.104331486082,1
83,1,1,2,71,83,218.100591904189,1
84,1,1,2,72,84,,0
85,1,1,3,1,85,,0
86,1,1,3,2,86,209.99933299203,1
87,1,1,3,3,87,205.518165085798,1
88,1,1,3,4,88,239.765922915999,1
89,1,1,3,5,89,205.974660702194,1
90,1,1,3,6,90,198.612696036633,1
91,1,1,3,7,91,221.604686802785,1
92,1,1,3,8,92,235.246984433979,1
93,1,1,3,9,93,210.54841723506,1
94,1,1,3,10,94,197.162402653538,1
95,1,1,3,11,95,203.476703038006,1
96,1,1,3,12,96,200.08315186115,1
97,1,1,4,1,97,,0
98,1,1,4,2,98,206.325053366629,1
99,1,1,4,3,99,208.833796515217,1
100,1,1,4,4,100,221.357000675603,1
101,1,1,4,5,101,270.607737155912,1
102,1,1,4,6,102,221.30393641971,1
103,1,1,4,7,103,224.823265076308,1
104,1,1,4,8,104,238.709399189713,1
105,1,1,4,9,105,259.819099626388,1
106,1,1,4,10,106,222.526636921199,1
107,1,1,4,11,107,207.419460943437,1
108,1,1,4,12,108,230.721919366795,1
109,2,1,1,1,1,336.659405839765,1
110,2,1,1,2,2,324.516296477918,1
111,2,1,1,3,3,255.426243813076,1
112,2,1,1,4,4,370.163947609514,1
113,2,1,1,5,5,314.90235269713,1
114,2,1,1,6,6,333.654985768848,1
115,2,1,1,7,7,303.587744609504,1
116,2,1,1,8,8,260.966124482705,1
117,2,1,1,9,9,305.806794540791,1
118,2,1,1,10,10,333.369854208663,1
119,2,1,1,11,11,264.028662543721,1
120,2,1,1,12,12,237.945790470747,1
121,2,1,2,1,13,325.853878341815,1
122,2,1,2,2,14,226.207825270342,1
123,2,1,2,3,15,227.985411257343,1
124,2,1,2,4,16,277.925457595109,1
125,2,1,2,5,17,300.86453776434,1
126,2,1,2,6,18,302.042074950651,1
127,2,1,2,7,19,402.313536070747,1
128,2,1,2,8,20,377.829655956292,1
129,2,1,2,9,21,385.185495429851,1
130,2,1,2,10,22,399.611884860478,1
131,2,1,2,11,23,510.030222094578,1
132,2,1,2,12,24,269.408249148865,1
133,2,1,2,13,25,279.898332683624,1
134,2,1,2,14,26,226.817865851387,1
135,2,1,2,15,27,218.58649907708,1
136,2,1,2,16,28,251.653499587395,1
137,2,1,2,17,29,202.001719329704,1
138,2,1,2,18,30,232.338396349719,1
139,2,1,2,19,31,187.22158418074,1
140,2,1,2,20,32,236.903265457005,1
141,2,1,2,21,33,231.248920789773,1
142,2,1,2,22,34,229.881634411988,1
143,2,1,2,23,35,271.09625461257,1
144,2,1,2,24,36,206.896964476227,1
145,2,1,2,25,37,228.298530374036,1
146,2,1,2,26,38,242.821074775416,1
147,2,1,2,27,39,196.123221658351,1
148,2,1,2,28,40,226.841929853946,1
149,2,1,2,29,41,232.54553072775,1
150,2,1,2,30,42,234.375388544908,1
151,2,1,2,31,43,250.25376092419,1
152,2,1,2,32,44,239.667835707859,1
153,2,1,2,33,45,209.51891449122,1
154,2,1,2,34,46,318.348231958499,1
155,2,1,2,35,47,241.964042278799,1
156,2,1,2,36,48,247.214035643015,1
157,2,1,2,37,49,279.411632592128,1
158,2,1,2,38,50,246.121371089241,1
159,2,1,2,39,51,260.678433366538,1
160,2,1,2,40,52,243.740912586646,1
161,2,1,2,41,53,288.283814255974,1
162,2,1,2,42,54,291.047163548175,1
163,2,1,2,43,55,282.019901504385,1
164,2,1,2,44,56,291.80559733479,1
165,2,1,2,45,57,321.127256944774,1
166,2,1,2,46,58,268.258714498537,1
167,2,1,2,47,59,291.52337588179,1
168,2,1,2,48,60,249.958556057321,1
169,2,1,2,49,61,310.756591305261,1
170,2,1,2,50,62,226.106632441179,1
171,2,1,2,51,63,267.114263207826,1
172,2,1,2,52,64,282.130114488469,1
173,2,1,2,53,65,254.200898877161,1
174,2,1,2,54,66,249.617046200131,1
175,2,1,2,55,67,231.761473360762,1
176,2,1,2,56,68,236.126004255108,1
177,2,1,2,57,69,231.87718433784,1
178,2,1,2,58,70,277.879928768613,1
179,2,1,2,59,71,262.40403266156,1
180,2,1,2,60,72,245.683665215553,1
181,2,1,2,61,73,278.59640486008,1
182,2,1,2,62,74,270.217441842229,1
183,2,1,2,63,75,287.507008502996,1
184,2,1,2,64,76,293.24262359631,1
185,2,1,2,65,77,255.34332998171,1
186,2,1,2,66,78,296.831449475092,1
187,2,1,2,67,79,313.878720758611,1
188,2,1,2,68,80,283.322082711639,1
189,2,1,2,69,81,260.966241272104,1
190,2,1,2,70,82,276.426713277628,1
191,2,1,2,71,83,249.059205721046,1
192,2,1,2,72,84,253.490186959407,1
193,2,1,3,1,85,,0
194,2,1,3,2,86,236.29512932918,1
195,2,1,3,3,87,251.467548517498,1
196,2,1,3,4,88,313.265213977759,1
197,2,1,3,5,89,271.010379694363,1
198,2,1,3,6,90,294.145561760519,1
199,2,1,3,7,91,217.578327181542,1
200,2,1,3,8,92,290.995995854295,1
201,2,1,3,9,93,244.498357348611,1
202,2,1,3,10,94,226.525286641974,1
203,2,1,3,11,95,260.900335358385,1
204,2,1,3,12,96,266.817870001571,1
205,2,1,4,1,97,255.90983981485,1
206,2,1,4,2,98,259.221420796394,1
207,2,1,4,3,99,260.447799196412,1
208,2,1,4,4,100,253.414765561668,1
209,2,1,4,5,101,259.062216682879,1
210,2,1,4,6,102,177.600404230591,1
211,2,1,4,7,103,241.331734465794,1
212,2,1,4,8,104,251.302248028037,1
213,2,1,4,9,105,274.042236270145,1
214,2,1,4,10,106,179.974385299497,1
215,2,1,4,11,107,249.457146210649,1
216,2,1,4,12,108,232.321003559108,1
217,3,1,0,1,1,235.037324599147,1
218,3,1,0,2,2,227.604139673537,1
219,3,1,0,3,3,247.556549310329,1
220,3,1,0,4,4,259.313605994283,1
221,3,1,0,5,5,268.301322579853,1
222,3,1,0,6,6,251.023809680804,1
223,3,1,0,7,7,270.675700088672,1
224,3,1,0,8,8,253.221529511583,1
225,3,1,0,9,9,405.330528514299,1
226,3,1,0,10,10,316.248061375754,1
227,3,1,0,11,11,322.966547663583,1
228,3,1,0,12,12,357.660487301574,1
229,3,1,2,1,13,330.142011683812,1
230,3,1,2,2,14,248.022219842526,1
231,3,1,2,3,15,252.043283546235,1
232,3,1,2,4,16,305.71404864237,1
233,3,1,2,5,17,330.083630063241,1
234,3,1,2,6,18,278.969874925221,1
235,3,1,2,7,19,276.087396162496,1
236,3,1,2,8,20,312.362226601428,1
237,3,1,2,9,21,303.121856930644,1
238,3,1,2,10,22,292.887623180432,1
239,3,1,2,11,23,255.895533421462,1
240,3,1,2,12,24,288.021149024451,1
241,3,1,2,13,25,267.779346062241,1
242,3,1,2,14,26,346.442049072866,1
243,3,1,2,15,27,302.343836524824,1
244,3,1,2,16,28,263.849074861546,1
245,3,1,2,17,29,267.068734980755,1
246,3,1,2,18,30,270.672836098325,1
247,3,1,2,19,31,270.802033485553,1
248,3,1,2,20,32,272.940466531147,1
249,3,1,2,21,33,279.399941147178,1
250,3,1,2,22,34,259.541301571677,1
251,3,1,2,23,35,280.922069350261,1
252,3,1,2,24,36,260.850661959522,1
253,3,1,2,25,37,272.130649791164,1
254,3,1,2,26,38,309.592378353743,1
255,3,1,2,27,39,283.630038297182,1
256,3,1,2,28,40,354.29532529495,1
257,3,1,2,29,41,258.002035348577,1
258,3,1,2,30,42,279.240676432617,1
259,3,1,2,31,43,293.394687039347,1
260,3,1,2,32,44,279.388828459365,1
261,3,1,2,33,45,281.047016034018,1
262,3,1,2,34,46,275.030667049451,1
263,3,1,2,35,47,285.19822709911,1
264,3,1,2,36,48,298.712523574913,1
265,3,1,2,37,49,300.136376108015,1
266,3,1,2,38,50,298.688837297965,1
267,3,1,2,39,51,302.301416727845,1
268,3,1,2,40,52,284.602807365562,1
269,3,1,2,41,53,279.801011073061,1
270,3,1,2,42,54,263.603087385362,1
271,3,1,2,43,55,271.120524838219,1
272,3,1,2,44,56,255.968538802369,1
273,3,1,2,45,57,288.670512127036,1
274,3,1,2,46,58,305.668550121317,1
275,3,1,2,47,59,297.505887688883,1
276,3,1,2,48,60,310.19392589466,1
277,3,1,2,49,61,254.413732157427,1
278,3,1,2,50,62,278.72782044346,1
279,3,1,2,51,63,306.232988910991,1
280,3,1,2,52,64,311.195665658389,1
281,3,1,2,53,65,273.914991288619,1
282,3,1,2,54,66,269.298042068791,1
283,3,1,2,55,67,278.035916707086,1
284,3,1,2,56,68,288.765702948685,1
285,3,1,2,57,69,266.989284912215,1
286,3,1,2,58,70,290.761881008047,1
287,3,1,2,59,71,304.335345872189,1
288,3,1,2,60,72,297.232566461488,1
289,3,1,2,61,73,278.192903430298,1
290,3,1,2,62,74,283.381589176007,1
291,3,1,2,63,75,276.009968553384,1
292,3,1,2,64,76,269.280072732707,1
293,3,1,2,65,77,256.872206856372,1
294,3,1,2,66,78,276.81266225315,1
295,3,1,2,67,79,259.883445640668,1
296,3,1,2,68,80,245.537079713816,1
297,3,1,2,69,81,294.470202335518,1
298,3,1,2,70,82,258.19156934099,1
299,3,1,2,71,83,268.361377301613,1
300,3,1,2,72,84,252.489176006524,1
301,3,1,3,1,85,,0
302,3,1,3,2,86,244.553023976489,1
303,3,1,3,3,87,293.318958806667,1
304,3,1,3,4,88,282.058179760906,1
305,3,1,3,5,89,297.194802322019,1
306,3,1,3,6,90,273.504240833871,1
307,3,1,3,7,91,272.158770238941,1
308,3,1,3,8,92,275.352387516076,1
309,3,1,3,9,93,269.419720103922,1
310,3,1,3,10,94,275.56945652504,1
311,3,1,3,11,95,267.072096929958,1
312,3,1,3,12,96,272.1641782594,1
313,3,1,4,1,97,292.499377045274,1
314,3,1,4,2,98,371.311847506675,1
315,3,1,4,3,99,324.579710572104,1
316,3,1,4,4,100,369.837801625364,1
317,3,1,4,5,101,377.837976574586,1
318,3,1,4,6,102,332.40300137929,1
319,3,1,4,7,103,420.598684265602,1
320,3,1,4,8,104,404.946811991753,1
321,3,1,4,9,105,367.860152154405,1
322,3,1,4,10,106,402.391847966177,1
323,3,1,4,11,107,335.214551183342,1
324,3,1,4,12,108,374.162769310345,1
325,4,1,1,1,1,635.723343918065,1
326,4,1,1,2,2,661.755876401773,1
327,4,1,1,3,3,582.543007044361,1
328,4,1,1,4,4,615.267569225491,1
329,4,1,1,5,5,,0
330,4,1,1,6,6,660.79718364778,1
331,4,1,1,7,7,540.457688090986,1
332,4,1,1,8,8,580.516004652055,1
333,4,1,1,9,9,542.254059215414,1
334,4,1,1,10,10,573.880648933411,1
335,4,1,1,11,11,560.167769868232,1
336,4,1,1,12,12,578.048010507391,1
337,4,1,2,1,13,544.652666923061,1
338,4,1,2,2,14,387.876320740206,1
339,4,1,2,3,15,427.663470897531,1
340,4,1,2,4,16,476.756411859923,1
341,4,1,2,5,17,408.492788681085,1
342,4,1,2,6,18,391.625452535842,1
343,4,1,2,7,19,388.981522150225,1
344,4,1,2,8,20,410.613430937339,1
345,4,1,2,9,21,339.219173769813,1
346,4,1,2,10,22,335.322200502246,1
347,4,1,2,11,23,376.640081725147,1
348,4,1,2,12,24,322.994091168182,1
349,4,1,2,13,25,307.557087200463,1
350,4,1,2,14,26,353.434162739583,1
351,4,1,2,15,27,360.773540316541,1
352,4,1,2,16,28,386.354313833095,1
353,4,1,2,17,29,310.701989781036,1
354,4,1,2,18,30,307.907032902327,1
355,4,1,2,19,31,319.561652671077,1
356,4,1,2,20,32,352.356409309129,1
357,4,1,2,21,33,321.297904020569,1
358,4,1,2,22,34,322.509080747789,1
359,4,1,2,23,35,329.925789733399,1
360,4,1,2,24,36,267.247253784704,1
361,4,1,2,25,37,323.412359055765,1
362,4,1,2,26,38,295.157733754912,1
363,4,1,2,27,39,317.661523493344,1
364,4,1,2,28,40,279.598011285857,1
365,4,1,2,29,41,304.343484883919,1
366,4,1,2,30,42,270.164120904841,1
367,4,1,2,31,43,307.01275436948,1
368,4,1,2,32,44,321.603935054197,1
369,4,1,2,33,45,382.200667197011,1
370,4,1,2,34,46,349.21027962451,1
371,4,1,2,35,47,362.142266203244,1
372,4,1,2,36,48,357.03135443752,1
373,4,1,2,37,49,308.403465172623,1
374,4,1,2,38,50,349.826944780338,1
375,4,1,2,39,51,313.968219178395,1
376,4,1,2,40,52,285.362745925381,1
377,4,1,2,41,53,307.448856515817,1
378,4,1,2,42,54,316.226956738232,1
379,4,1,2,43,55,352.006391304087,1
380,4,1,2,44,56,360.281440663812,1
381,4,1,2,45,57,344.770955226374,1
382,4,1,2,46,58,314.494250864228,1
383,4,1,2,47,59,320.28098076539,1
384,4,1,2,48,60,326.883937592603,1
385,4,1,2,49,61,327.055737866752,1
386,4,1,2,50,62,355.503141935766,1
387,4,1,2,51,63,372.756569863395,1
388,4,1,2,52,64,361.1953847002,1
389,4,1,2,53,65,346.465232777083,1
390,4,1,2,54,66,344.931128930749,1
391,4,1,2,55,67,322.302951652891,1
392,4,1,2,56,68,307.58968688475,1
393,4,1,2,57,69,257.543107358309,1
394,4,1,2,58,70,284.98490277471,1
395,4,1,2,59,71,307.801586625859,1
396,4,1,2,60,72,315.696256988881,1
397,4,1,2,61,73,289.800482364873,1
398,4,1,2,62,74,281.422702069776,1
399,4,1,2,63,75,281.063863864566,1
400,4,1,2,64,76,286.784006208625,1
401,4,1,2,65,77,292.280274282812,1
402,4,1,2,66,78,279.766948829029,1
403,4,1,2,67,79,267.843846219493,1
404,4,1,2,68,80,269.193061262473,1
405,4,1,2,69,81,293.525894110498,1
406,4,1,2,70,82,290.700549944542,1
407,4,1,2,71,83,269.781070405702,1
408,4,1,2,72,84,267.109404407061,1
409,4,1,3,1,85,323.036351543408,1
410,4,1,3,2,86,275.416813464286,1
411,4,1,3,3,87,239.670640090379,1
412,4,1,3,4,88,280.649383975891,1
413,4,1,3,5,89,277.187054496301,1
414,4,1,3,6,90,290.397364226766,1
415,4,1,3,7,91,259.618324468294,1
416,4,1,3,8,92,289.4855710603,1
417,4,1,3,9,93,264.546762990348,1
418,4,1,3,10,94,263.484129299321,1
419,4,1,3,11,95,277.861252607892,1
420,4,1,3,12,96,299.389061837843,1
421,4,1,4,1,97,397.029650012977,1
422,4,1,4,2,98,322.200653424221,1
423,4,1,4,3,99,303.10435736862,1
424,4,1,4,4,100,333.519170571915,1
425,4,1,4,5,101,293.246578990899,1
426,4,1,4,6,102,314.975757675472,1
427,4,1,4,7,103,303.511170933784,1
428,4,1,4,8,104,316.535669748275,1
429,4,1,4,9,105,295.00426796495,1
430,4,1,4,10,106,301.770416027831,1
431,4,1,4,11,107,325.756215703233,1
432,4,1,4,12,108,335.845539901801,1
433,5,1,0,1,1,,0
434,5,1,0,2,2,265.444519269607,1
435,5,1,0,3,3,273.978923199871,1
436,5,1,0,4,4,291.504538766231,1
437,5,1,0,5,5,261.315943964621,1
438,5,1,0,6,6,287.436724554054,1
439,5,1,0,7,7,301.21122577955,1
440,5,1,0,8,8,243.703392416458,1
441,5,1,0,9,9,272.048264676161,1
442,5,1,0,10,10,278.576755481566,1
443,5,1,0,11,11,241.227640058582,1
444,5,1,0,12,12,255.204763628551,1
445,5,1,2,1,13,312.555786219459,1
446,5,1,2,2,14,258.223234540834,1
447,5,1,2,3,15,200.113424870888,1
448,5,1,2,4,16,242.83899994455,1
449,5,1,2,5,17,238.273459782881,1
450,5,1,2,6,18,236.570999732391,1
451,5,1,2,7,19,207.374374912767,1
452,5,1,2,8,20,,0
453,5,1,2,9,21,262.02785736766,1
454,5,1,2,10,22,218.548626961662,1
455,5,1,2,11,23,231.865248879578,1
456,5,1,2,12,24,241.309100315459,1
457,5,1,2,13,25,230.239846424435,1
458,5,1,2,14,26,222.569971364923,1
459,5,1,2,15,27,219.33103295768,1
460,5,1,2,16,28,229.613734107703,1
461,5,1,2,17,29,277.404477324041,1
462,5,1,2,18,30,278.226053003668,1
463,5,1,2,19,31,214.341684963115,1
464,5,1,2,20,32,273.953691815953,1
465,5,1,2,21,33,253.983751351222,1
466,5,1,2,22,34,250.328796354509,1
467,5,1,2,23,35,261.101487740378,1
468,5,1,2,24,36,249.242274244236,1
469,5,1,2,25,37,220.700656098722,1
470,5,1,2,26,38,257.677205775561,1
471,5,1,2,27,39,243.401125331016,1
472,5,1,2,28,40,280.220844806483,1
473,5,1,2,29,41,248.069519656016,1
474,5,1,2,30,42,266.504486982173,1
475,5,1,2,31,43,253.487073804329,1
476,5,1,2,32,44,229.459586331398,1
477,5,1,2,33,45,226.645386263794,1
478,5,1,2,34,46,282.529408201476,1
479,5,1,2,35,47,261.501943029973,1
480,5,1,2,36,48,276.628104895701,1
481,5,1,2,37,49,234.60181592373,1
482,5,1,2,38,50,203.727999942229,1
483,5,1,2,39,51,253.343436754602,1
484,5,1,2,40,52,256.104952852437,1
485,5,1,2,41,53,224.402593792696,1
486,5,1,2,42,54,220.23904253577,1
487,5,1,2,43,55,201.874212743637,1
488,5,1,2,44,56,257.923110243335,1
489,5,1,2,45,57,252.526088078433,1
490,5,1,2,46,58,266.067560523047,1
491,5,1,2,47,59,268.359277021781,1
492,5,1,2,48,60,290.106015103307,1
493,5,1,2,49,61,220.652874190089,1
494,5,1,2,50,62,246.195937390643,1
495,5,1,2,51,63,231.261351268908,1
496,5,1,2,52,64,247.339564580507,1
497,5,1,2,53,65,260.069225153104,1
498,5,1,2,54,66,240.692782494522,1
499,5,1,2,55,67,243.653884465958,1
500,5,1,2,56,68,236.909865997484,1
501,5,1,2,57,69,253.700930100968,1
502,5,1,2,58,70,253.003083065772,1
503,5,1,2,59,71,259.603823425356,1
