index,id,group_id,phase_id,trial_phase
319,3,1,4,7
320,3,1,4,8
321,3,1,4,9
322,3,1,4,10
323,3,1,4,11
324,3,1,4,12
325,4,1,1,1
326,4,1,1,2
327,4,1,1,3
328,4,1,1,4
329,4,1,1,5
330,4,1,1,6
331,4,1,1,7
332,4,1,1,8
333,4,1,1,9
334,4,1,1,10
335,4,1,1,11
336,4,1,1,12
337,4,1,2,1
338,4,1,2,2
339,4,1,2,3
340,4,1,2,4
341,4,1,2,5
342,4,1,2,6
343,4,1,2,7
344,4,1,2,8
345,4,1,2,9
346,4,1,2,10
347,4,1,2,11
348,4,1,2,12
349,4,1,2,13
350,4,1,2,14
351,4,1,2,15
352,4,1,2,16
353,4,1,2,17
354,4,1,2,18
355,4,1,2,19
356,4,1,2,20
357,4,1,2,21
358,4,1,2,22
359,4,1,2,23
360,4,1,2,24
361,4,1,2,25
362,4,1,2,26
363,4,1,2,27
364,4,1,2,28
365,4,1,2,29
366,4,1,2,30
367,4,1,2,31
368,4,1,2,32
369,4,1,2,33
370,4,1,2,34
371,4,1,2,35
372,4,1,2,36
373,4,1,2,37
374,4,1,2,38
375,4,1,2,39
376,4,1,2,40
377,4,1,2,41
378,4,1,2,42
379,4,1,2,43
380,4,1,2,44
381,4,1,2,45
382,4,1,2,46
383,4,1,2,47
384,4,1,2,48
385,4,1,2,49
386,4,1,2,50
387,4,1,2,51
388,4,1,2,52
389,4,1,2,53
390,4,1,2,54
391,4,1,2,55
392,4,1,2,56
393,4,1,2,57
394,4,1,2,58
395,4,1,2,59
396,4,1,2,60
397,4,1,2,61
398,4,1,2,62
399,4,1,2,63
400,4,1,2,64
401,4,1,2,65
402,4,1,2,66
403,4,1,2,67
404,4,1,2,68
405,4,1,2,69
406,4,1,2,70
407,4,1,2,71
408,4,1,2,72
409,4,1,3,1
410,4,1,3,2
411,4,1,3,3
412,4,1,3,4
413,4,1,3,5
414,4,1,3,6
415,4,1,3,7
416,4,1,3,8
417,4,1,3,9
418,4,1,3,10
419,4,1,3,11
420,4,1,3,12
421,4,1,4,1
422,4,1,4,2
423,4,1,4,3
424,4,1,4,4
425,4,1,4,5
426,4,1,4,6
427,4,1,4,7
428,4,1,4,8
429,4,1,4,9
430,4,1,4,10
431,4,1,4,11
432,4,1,4,12
