index,id,rev_ms,good?
1,1,,0
2,1,225.26307721477,1
3,1,257.742454270042,1
4,1,252.171309408888,1
5,1,287.984542530113,1
6,1,338.294266520313,1
7,1,276.748751922386,1
8,1,345.499949706648,1
9,1,284.34002632242,1
10,1,227.143036342375,1
11,1,232.343634763516,1
12,1,216.937073923564,1
13,1,207.556515370091,1
14,1,185.594045913703,1
15,1,227.487375866445,1
16,1,240.0030114773,1
17,1,209.10937192796,1
18,1,242.216457205508,1
19,1,199.729693011541,1
20,1,234.362738435311,1
21,1,231.117482384623,1
22,1,222.917663874334,1
23,1,234.437558559898,1
24,1,213.604263373594,1
25,1,203.282236736524,1
26,1,174.03342281101,1
27,1,219.637922874045,1
28,1,228.971898093775,1
29,1,217.10793686013,1
30,1,234.934679232498,1
31,1,218.149075904487,1
32,1,187.94877197327,1
33,1,169.552398351623,1
34,1,179.632693852016,1
35,1,197.206189447112,1
36,1,202.3065745004,1
37,1,178.4722749576,1
38,1,199.918448376094,1
39,1,287.976390723805,1
40,1,210.280571083985,1
41,1,271.474757901214,1
42,1,199.341054161371,1
43,1,185.239021138657,1
44,1,224.913541260544,1
45,1,216.862635324529,1
46,1,212.082427123317,1
47,1,238.194935586974,1
48,1,204.651978700989,1
49,1,219.508504825551,1
50,1,251.663949685435,1
51,1,240.646071655927,1
52,1,223.766984824728,1
53,1,238.838533060602,1
54,1,228.338797678654,1
55,1,239.696597171637,1
56,1,224.594655522167,1
57,1,232.742129565357,1
58,1,217.658023490923,1
59,1,259.714328994174,1
60,1,291.313483984435,1
61,1,202.534344743158,1
62,1,246.575905103963,1
63,1,222.151064951187,1
64,1,218.87253236473,1
65,1,228.302475367654,1
66,1,223.442038118744,1
67,1,235.15528998835,1
68,1,204.356764617987,1
69,1,248.095249580042,1
70,1,226.475369157769,1
71,1,178.083457498723,1
72,1,207.908851207958,1
73,1,233.844088273836,1
74,1,238.699513382083,1
75,1,258.608498033083,1
76,1,214.473095174595,1
77,1,259.247506142012,1
78,1,210.756696165278,1
79,1,231.783189995988,1
80,1,239.788601108817,1
81,1,227.521684147122,1
82,1,246.104331486082,1
83,1,218.100591904189,1
84,1,,0
85,1,,0
86,1,209.99933299203,1
87,1,205.518165085798,1
88,1,239.765922915999,1
89,1,205.974660702194,1
90,1,198.612696036633,1
91,1,221.604686802785,1
92,1,235.246984433979,1
93,1,210.54841723506,1
94,1,197.162402653538,1
95,1,203.476703038006,1
96,1,200.08315186115,1
97,1,,0
98,1,206.325053366629,1
99,1,208.833796515217,1
100,1,221.357000675603,1
101,1,270.607737155912,1
102,1,221.30393641971,1
103,1,224.823265076308,1
104,1,238.709399189713,1
105,1,259.819099626388,1
106,1,222.526636921199,1
107,1,207.419460943437,1
108,1,230.721919366795,1
109,2,336.659405839765,1
110,2,324.516296477918,1
111,2,255.426243813076,1
112,2,370.163947609514,1
113,2,314.90235269713,1
114,2,333.654985768848,1
115,2,303.587744609504,1
116,2,260.966124482705,1
117,2,305.806794540791,1
118,2,333.369854208663,1
119,2,264.028662543721,1
120,2,237.945790470747,1
121,2,325.853878341815,1
122,2,226.207825270342,1
123,2,227.985411257343,1
124,2,277.925457595109,1
125,2,300.86453776434,1
126,2,302.042074950651,1
127,2,402.313536070747,1
128,2,377.829655956292,1
129,2,385.185495429851,1
130,2,399.611884860478,1
131,2,510.030222094578,1
132,2,269.408249148865,1
133,2,279.898332683624,1
134,2,226.817865851387,1
135,2,218.58649907708,1
136,2,251.653499587395,1
137,2,202.001719329704,1
138,2,232.338396349719,1
139,2,187.22158418074,1
140,2,236.903265457005,1
141,2,231.248920789773,1
142,2,229.881634411988,1
143,2,271.09625461257,1
144,2,206.896964476227,1
145,2,228.298530374036,1
146,2,242.821074775416,1
147,2,196.123221658351,1
148,2,226.841929853946,1
149,2,232.54553072775,1
150,2,234.375388544908,1
151,2,250.25376092419,1
152,2,239.667835707859,1
153,2,209.51891449122,1
154,2,318.348231958499,1
155,2,241.964042278799,1
156,2,247.214035643015,1
157,2,279.411632592128,1
158,2,246.121371089241,1
159,2,260.678433366538,1
160,2,243.740912586646,1
161,2,288.283814255974,1
162,2,291.047163548175,1
163,2,282.019901504385,1
164,2,291.80559733479,1
165,2,321.127256944774,1
166,2,268.258714498537,1
167,2,291.52337588179,1
168,2,249.958556057321,1
169,2,310.756591305261,1
170,2,226.106632441179,1
171,2,267.114263207826,1
172,2,282.130114488469,1
173,2,254.200898877161,1
174,2,249.617046200131,1
175,2,231.761473360762,1
176,2,236.126004255108,1
177,2,231.87718433784,1
178,2,277.879928768613,1
179,2,262.40403266156,1
180,2,245.683665215553,1
181,2,278.59640486008,1
182,2,270.217441842229,1
183,2,287.507008502996,1
184,2,293.24262359631,1
185,2,255.34332998171,1
186,2,296.831449475092,1
187,2,313.878720758611,1
188,2,283.322082711639,1
189,2,260.966241272104,1
190,2,276.426713277628,1
191,2,249.059205721046,1
192,2,253.490186959407,1
193,2,,0
194,2,236.29512932918,1
195,2,251.467548517498,1
196,2,313.265213977759,1
197,2,271.010379694363,1
198,2,294.145561760519,1
199,2,217.578327181542,1
200,2,290.995995854295,1
201,2,244.498357348611,1
202,2,226.525286641974,1
203,2,260.900335358385,1
204,2,266.817870001571,1
205,2,255.90983981485,1
206,2,259.221420796394,1
207,2,260.447799196412,1
208,2,253.414765561668,1
209,2,259.062216682879,1
210,2,177.600404230591,1
211,2,241.331734465794,1
212,2,251.302248028037,1
213,2,274.042236270145,1
214,2,179.974385299497,1
215,2,249.457146210649,1
216,2,232.321003559108,1
217,3,235.037324599147,1
218,3,227.604139673537,1
219,3,247.556549310329,1
